Vivado Simulator 2019.1
Time resolution is 1 ps
Time=515000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=525000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=535000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=545000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=555000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=565000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=575000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=585000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=595000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=605000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=615000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=625000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=635000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=645000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=655000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=665000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=675000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=685000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=695000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=705000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=715000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=725000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=735000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=745000, PC=         8, Instr=0xfe028ce3, branch=1, jump=0, cond_met=1, pc_taken=1, Opcode=0b1100011, RegWrite=0, RdAddr=25, ALU_Result=4294967288, GCD_Result=        12
Time=755000, PC=         0, Instr=0x000f8293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
Time=765000, PC=         4, Instr=0x0012f293, branch=0, jump=0, cond_met=0, pc_taken=0, Opcode=0b0010011, RegWrite=1, RdAddr= 5, ALU_Result=         0, GCD_Result=        12
